property_id,price
d56159653f5d2abc5ed5acd7,793021184
45550aa81c0151f1fd9fd8fe,672161408
735deef3382aa15930482f3e,437455264
0dd49fa8bb7be52b851c6dc9,731881984
7d3220a91e78f8bc2924d1cd,792225600
d3054072b2175deec2c1f8dc,474118400
b7574b06d593fca4eac59815,474118400
79e822115c5c1a4531366001,556592000
d3ed5316a463d38c1bd321d0,910557056
2f1880c9b8f7ac2715e1236d,721613504
dcca1c7f109175760ff531c6,479382528
dfc4f3facf91bbd93ee0fa4d,464430784
30e134a6cbe61d7954d0f56b,410424160
385fee7bd9ad7722d45dd034,505730272
87199c236bf22903d1aafdd0,519136736
19e19ad0cd6b5e84d8aa970e,493280288
907f968e78d748fde69dd44f,640083648
be094e5db0f784e3aa013aae,497027328
7ab96f83915bc84f8c03c1bd,354142112
07f4aa9b9ff5b0b05d31e6c0,618027968
e9be8cd37abed8ab510ba1f5,731681216
5f6ad58df27b562db077b5ce,519348480
ee96d947484aaace40f9b77f,788102336
15c4aef8401208054697b81e,832211072
22d6cb11333f2839b8112b89,1069413184
288c09c33907dadbae495c11,1100449152
f71d2bca0c5fe2720a1544c4,535157056
451744cf3ce55a98db8a3562,532996288
fba9ae05a6a8a9e0c6268a9f,548906624
1338e58f7dcebf5a1ea59388,349340704
a817e8da0ada143ac87277ee,297995520
46d8bb3e9a0ca584d3c7a317,321258688
b2506aa9463aebf01e1e00ca,473992160
7ec025b9b6e6f33bf65af41b,407629280
2ff531e27672ecd2362eed55,752859520
9b3cf0d1b91b9c6a2a887647,516489120
7db5291ce4602d9b2b266872,619710720
65d5918e826c33bb950fc008,505437120
395c34e4b8f52cbdb0522459,638090176
855f4b67d2bd6d18fd03d8e7,530778880
9ff06409b37e5b5dece4604a,518740704
0508cd7bd2c77ebb6fea1e56,539077440
b45fff2e718e54772d46a3fd,451173568
cf4d2297b73dbc357d21e31b,439409504
0ada7044c5b29925abc90879,393282976
6305f02255274ab5fb6bd39c,627971136
d9a94194ae1350512beff3e6,614866176
e3896296cb80d50d9ad3f903,725241600
6514f355887c64136edb5595,685213696
f03400cc18e12903b3ffbe5a,760530496
4e134600155a64783b3f8c3e,740466176
d63ebc63c82fbf66d8b6ffd3,755030912
1bd64811bd59706844230198,949696064
a83921284639eedd4a511cb6,711596416
a2f3f7a1cd573e2a33f52e2d,766400512
47344a66471fa51f61c64652,744529536
78fd849c9429091347d7e5c9,568027968
c3daf2abea55af99c9579319,727441792
52864916eb1984abca41ec66,720323840
c62494a9d7aede44f2f84023,1076779904
a2b576643f7a032371587e5e,1087305216
e53bc68f0e97ccead24f3e56,433036672
fd82c710aad91bc90af490fe,680232256
d436abc2ee37ba3dd561e940,680232256
216a598114a403676011cb51,544388288
ea230d5eccd2b687888173bb,776210560
18bd0dd7580f2a7cb19a90b9,383344000
b143c8ca6d334f6a73c3f2a0,374632672
ab388cb4fa511968783bafee,404628608
6a4f08cd04d558a56af732d9,590244736
7216c895aa047c4f405c4941,579263808
a493488dcd906dc74cf8a604,638390080
7844b0b2bc65dced90a355c6,656097856
c1976383069b6b82ab29d092,360988736
e5cfd99e2308b7b73581dbdc,472562912
