"property_id","price"
"d56159653f5d2abc5ed5acd7",550457980.117455
"45550aa81c0151f1fd9fd8fe",543549745.949522
"735deef3382aa15930482f3e",525966849.134412
"0dd49fa8bb7be52b851c6dc9",547277761.529935
"7d3220a91e78f8bc2924d1cd",517638140.968166
"d3054072b2175deec2c1f8dc",557869787.49402
"b7574b06d593fca4eac59815",559197977.74525
"79e822115c5c1a4531366001",569814848.633836
"d3ed5316a463d38c1bd321d0",681500242.660147
"2f1880c9b8f7ac2715e1236d",664744395.847171
"dcca1c7f109175760ff531c6",553963257.376919
"dfc4f3facf91bbd93ee0fa4d",556108662.265583
"30e134a6cbe61d7954d0f56b",453692665.78161
"385fee7bd9ad7722d45dd034",446088369.148818
"87199c236bf22903d1aafdd0",446088369.148818
"19e19ad0cd6b5e84d8aa970e",544926742.47046
"907f968e78d748fde69dd44f",565155302.397013
"be094e5db0f784e3aa013aae",555222381.360349
"7ab96f83915bc84f8c03c1bd",564934738.782594
"07f4aa9b9ff5b0b05d31e6c0",667412431.470137
"e9be8cd37abed8ab510ba1f5",668000381.38304
"5f6ad58df27b562db077b5ce",679989425.790464
"ee96d947484aaace40f9b77f",675378758.188526
"15c4aef8401208054697b81e",853583645.326768
"22d6cb11333f2839b8112b89",768929326.590161
"288c09c33907dadbae495c11",901626165.699342
"f71d2bca0c5fe2720a1544c4",568726136.225891
"451744cf3ce55a98db8a3562",569956325.013696
"fba9ae05a6a8a9e0c6268a9f",499432030.323386
"1338e58f7dcebf5a1ea59388",553061504.004241
"a817e8da0ada143ac87277ee",399379255.663981
"46d8bb3e9a0ca584d3c7a317",530659617.991707
"b2506aa9463aebf01e1e00ca",535004347.853026
"7ec025b9b6e6f33bf65af41b",525277040.503485
"2ff531e27672ecd2362eed55",566364608.233565
"9b3cf0d1b91b9c6a2a887647",549370665.716989
"7db5291ce4602d9b2b266872",439087898.603303
"65d5918e826c33bb950fc008",578162602.948714
"395c34e4b8f52cbdb0522459",578331630.954714
"855f4b67d2bd6d18fd03d8e7",574335919.684728
"9ff06409b37e5b5dece4604a",556998345.016165
"0508cd7bd2c77ebb6fea1e56",550752715.664745
"b45fff2e718e54772d46a3fd",523908808.14155
"cf4d2297b73dbc357d21e31b",518616792.624038
"0ada7044c5b29925abc90879",554667637.778576
"6305f02255274ab5fb6bd39c",605664128.568125
"d9a94194ae1350512beff3e6",641728106.434555
"e3896296cb80d50d9ad3f903",642055543.664905
"6514f355887c64136edb5595",744166315.901175
"f03400cc18e12903b3ffbe5a",545716531.697306
"4e134600155a64783b3f8c3e",552353193.692077
"d63ebc63c82fbf66d8b6ffd3",618198609.312585
"1bd64811bd59706844230198",655721359.083688
"a83921284639eedd4a511cb6",622620821.805614
"a2f3f7a1cd573e2a33f52e2d",680951795.234102
"47344a66471fa51f61c64652",642454109.44791
"78fd849c9429091347d7e5c9",680486207.799906
"c3daf2abea55af99c9579319",651164309.158495
"52864916eb1984abca41ec66",793694175.306378
"c62494a9d7aede44f2f84023",775080959.417902
"a2b576643f7a032371587e5e",916828300.407948
"e53bc68f0e97ccead24f3e56",535996639.128687
"fd82c710aad91bc90af490fe",574165658.035381
"d436abc2ee37ba3dd561e940",574688594.282745
"216a598114a403676011cb51",534258892.107866
"ea230d5eccd2b687888173bb",571133250.293299
"18bd0dd7580f2a7cb19a90b9",427899521.240018
"b143c8ca6d334f6a73c3f2a0",376550102.127218
"ab388cb4fa511968783bafee",564934738.782594
"6a4f08cd04d558a56af732d9",534552997.697613
"7216c895aa047c4f405c4941",573303400.690519
"a493488dcd906dc74cf8a604",543375179.859677
"7844b0b2bc65dced90a355c6",555958380.981269
"c1976383069b6b82ab29d092",524795385.030229
"e5cfd99e2308b7b73581dbdc",555136116.334292
"c18c2ea88f4ac53970b53d2c",554753974.792017
"842c9f0e4edf1e5a672ce15e",559079477.663513
"7dd1e46dcbddc6bf5ef694de",548484223.737286
"6cc4f32b39180bd1ec7e117b",584094892.944814
"79e643789a85dc4ffad49a25",722803413.443953
"b3402a9173d289d6db78e09d",668000381.38304
"a446507813234e358db8b573",670217759.008889
"c8ef57ddfb35061d1876f94e",633548021.645434
"360be0df2c003005e3db080e",665221363.819041
"9ab245a4c91877cb7a8661ce",691112624.208589
"a57a34c7486e7a40e8deb316",661221450.932726
"ceba7d0f56f6cb03538962fb",647395366.297044
"d5475993f9db58c3e4baf7a3",672669443.372716
"d37a1dda09e30da13ff5bfc3",652810847.646003
"68a8b8d077a8232723bf37e9",679989425.790464
"e1eea7716ca6490b7640717a",669327421.068958
"4ae6d75b10848d259ecba576",638288852.849742
"17afbce5c0b56732abbea936",664875586.7085
"84a2673eccd3cf3bd7fd3eb0",793694175.306378
"f2f4e6cbafe527b155707f01",768929326.590161
"de2e3a592cda5b76c9573c5c",794159762.740575
"fac651cf404a58f24dc7d286",779724104.478978
"e6f312a0877af26b69855a3d",760524352.614895
"333a643c623a9bc75f3a40f2",794142173.913487
"64593641e470908ef23b46cb",906898104.472547
"ce9f2f0071be658ae75ca6f9",916828300.407948
"9ab385e399a4673732b6a799",612814031.688083
"3429c774b736cefc051e2c55",535921730.476157
"a51ad0372758b2bbfe73f8fd",543000340.802057
"8c801a266256e3fbabe7e3d2",668404970.239007
"ca2f81b8fb6fda20aefb0ccb",561098496.040379
"3c1b1f86087f9b99380e387c",540942134.017042
"b0cad5d612954b8cab18101c",754179634.306526
"7eb991f4c69215377e4dac8f",664608082.501947
"0d130b8bea4321300396fa34",751162406.914316
"8dfa059401e1dca80ae65ae1",541439188.600515
"3e3f264cd0ac7a65ed2349a2",661221450.932726
"112dce80bf512f3f24391d23",554753974.792017
"ff25ded6333278149f8fb68f",568545124.683994
"d555b82c192794e87e9d536f",573431462.596549
"a787382d96ef9fce8f27bc70",666095122.039396
"8c3aa295f7bcfd9a43eb2037",672073578.044565
"13ac95652fb3cf6c43dafc66",566748017.16542
"42fc6a80b882c32f6264ac10",551629940.068965
"1e9c53e09220d689a0210ab9",402428426.535184
"3348706086aa3db5c92259c3",523965518.163634
"66d402a9b7d05f29282ddb00",569046579.26537
"cf88be51d6f31c10e5868ff7",527893472.230081
"30b3f38716be209a894b0942",542572233.467461
"0a5908a92d0ba3e36f54b1f3",563905777.270519
"dd206b6ea2d7f6555109ea39",534706588.562928
"c641febd8bc2ece3e4d2d8b6",649158655.860822
"c11fdc02a288af0572a2bca1",674719303.39393
"35dc60a65969b264ab283d6d",661320048.374383
"d9cb0f637cd4feaaaf8a21c0",753173605.347479
"7e8dfae9a5f1faf8afa706f7",414991832.508805
"a280fe7610c254b935c9dcfc",421642909.84688
"85524880fdc4e4daf90e96fd",534433777.977217
"f361109d06f6609c16724b39",578162602.948714
"3f6b2f0c0876c21755369cb6",605664128.568125
